id,year,occ_id,occ_title,level,employment,emp_prse,hourly_mean,annual_mean,hourly_pct10,hourly_pct25,hourly_median,hourly_pct75,hourly_pct90,annual_pct10,annual_pct25,annual_median,annual_pct75,annual_pct90
1,2014,00-0000,All Occupations,total,"135,128,260",0.1,22.71,"47,230",8.82,11.04,17.09,27.75,43.3,"18,350","22,950","35,540","57,720","90,060"
2,2014,11-0000,Management Occupations,major,"6,741,640",0.2,54.08,"112,490",22.33,32.25,46.75,67.86,#,"46,440","67,080","97,230","141,150",#
3,2014,11-1000,Top Executives,minor,"2,351,130",0.2,58.68,"122,060",20.94,31.86,48.51,76.43,#,"43,570","66,270","100,910","158,980",#
4,2014,11-1010,Chief Executives,broad,"246,240",0.8,86.88,"180,700",34.97,53.25,83.33,#,#,"72,750","110,760","173,320",#,#
5,2014,11-1011,Chief Executives,detailed,"246,240",0.8,86.88,"180,700",34.97,53.25,83.33,#,#,"72,750","110,760","173,320",#,#
6,2014,11-1020,General and Operations Managers,broad,"2,049,870",0.3,56.35,"117,200",21.7,31.54,46.77,71.95,#,"45,130","65,610","97,270","149,660",#
7,2014,11-1021,General and Operations Managers,detailed,"2,049,870",0.3,56.35,"117,200",21.7,31.54,46.77,71.95,#,"45,130","65,610","97,270","149,660",#
8,2014,11-1030,Legislators,broad,"55,020",1.3,*,"40,430",*,*,*,*,*,"16,710","18,010","20,180","59,720","87,880"
9,2014,11-1031,Legislators,detailed,"55,020",1.3,*,"40,430",*,*,*,*,*,"16,710","18,010","20,180","59,720","87,880"
10,2014,Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"629,670",0.5,61.48,"127,880",26.86,37.59,54.92,77.85,#,"55,870","78,190","114,230","161,940",#
11,2014,10-Nov,Advertising and Promotions Managers,broad,"29,340",2.8,55.15,"114,700",21.66,31.64,46.5,71.3,#,"45,060","65,810","96,720","148,300",#
12,2014,11-Nov,Advertising and Promotions Managers,detailed,"29,340",2.8,55.15,"114,700",21.66,31.64,46.5,71.3,#,"45,060","65,810","96,720","148,300",#
13,2014,20-Nov,Marketing and Sales Managers,broad,"543,410",0.5,62.45,"129,900",27.24,38.27,56.01,79.17,#,"56,670","79,590","116,490","164,660",#
14,2014,21-Nov,Marketing Managers,detailed,"184,490",0.9,66.06,"137,400",31.72,43.57,61.12,82.4,#,"65,980","90,630","127,130","171,390",#
15,2014,22-Nov,Sales Managers,detailed,"358,920",0.6,60.6,"126,040",25.78,35.8,53.2,77.18,#,"53,620","74,470","110,660","160,520",#
16,2014,30-Nov,Public Relations and Fundraising Managers,broad,"56,920",1.2,55.48,"115,400",26.64,35.53,48.8,68.8,#,"55,420","73,910","101,510","143,110",#
17,2014,Nov-31,Public Relations and Fundraising Managers,detailed,"56,920",1.2,55.48,"115,400",26.64,35.53,48.8,68.8,#,"55,420","73,910","101,510","143,110",#
18,2014,Nov-00,Operations Specialties Managers,minor,"1,624,000",0.3,56.44,"117,390",27.87,37.19,50.84,69.36,#,"57,960","77,360","105,750","144,270",#
19,2014,10-Nov,Administrative Services Managers,broad,"268,730",0.6,44.35,"92,250",21.92,29.81,40.28,54.36,71.72,"45,590","62,000","83,790","113,070","149,180"
20,2014,11-Nov,Administrative Services Managers,detailed,"268,730",0.6,44.35,"92,250",21.92,29.81,40.28,54.36,71.72,"45,590","62,000","83,790","113,070","149,180"
21,2014,20-Nov,Computer and Information Systems Managers,broad,"330,360",0.8,65.52,"136,280",37.73,47.75,61.37,77.66,#,"78,470","99,320","127,640","161,520",#
22,2014,21-Nov,Computer and Information Systems Managers,detailed,"330,360",0.8,65.52,"136,280",37.73,47.75,61.37,77.66,#,"78,470","99,320","127,640","161,520",#
23,2014,30-Nov,Financial Managers,broad,"518,030",0.6,62.61,"130,230",30.04,40.02,55.44,76.55,#,"62,480","83,230","115,320","159,230",#
24,2014,Nov-31,Financial Managers,detailed,"518,030",0.6,62.61,"130,230",30.04,40.02,55.44,76.55,#,"62,480","83,230","115,320","159,230",#
25,2014,Nov-50,Industrial Production Managers,broad,"167,200",0.6,48.87,"101,640",27.06,34.35,44.46,58.31,76.04,"56,290","71,440","92,470","121,280","158,170"
26,2014,Nov-51,Industrial Production Managers,detailed,"167,200",0.6,48.87,"101,640",27.06,34.35,44.46,58.31,76.04,"56,290","71,440","92,470","121,280","158,170"
27,2014,Nov-60,Purchasing Managers,broad,"70,840",0.9,53.76,"111,810",29.25,37.96,51.01,65.57,81.25,"60,840","78,950","106,090","136,390","169,000"
28,2014,Nov-61,Purchasing Managers,detailed,"70,840",0.9,53.76,"111,810",29.25,37.96,51.01,65.57,81.25,"60,840","78,950","106,090","136,390","169,000"
