id,year,occ_id,occ_title,level,employment,emp_prse,hourly_mean,annual_mean,hourly_pct10,hourly_pct25,hourly_median,hourly_pct75,hourly_pct90,annual_pct10,annual_pct25,annual_median,annual_pct75,annual_pct90
6944,2019,00-0000,All Occupations,total,"146,875,480",0.1,25.72,"53,490",10.35,13.02,19.14,30.88,48.57,"21,530","27,080","39,810","64,240","101,020"
6945,2019,11-0000,Management Occupations,major,"8,054,120",0.2,58.88,"122,480",24.03,34.35,50.8,74.16,#,"49,990","71,460","105,660","154,260",#
6946,2019,11-1000,Top Executives,minor,"2,658,440",0.3,61.09,"127,070",21.01,31.69,49.63,78.83,#,"43,710","65,910","103,230","163,970",#
6947,2019,11-1010,Chief Executives,broad,"205,890",0.8,93.2,"193,850",29.95,54.23,88.68,#,#,"62,290","112,790","184,460",#,#
6948,2019,11-1011,Chief Executives,detailed,"205,890",0.8,93.2,"193,850",29.95,54.23,88.68,#,#,"62,290","112,790","184,460",#,#
6949,2019,11-1020,General and Operations Managers,broad,"2,400,280",0.3,59.15,"123,030",21.66,31.57,48.45,75.69,#,"45,050","65,660","100,780","157,430",#
6950,2019,11-1021,General and Operations Managers,detailed,"2,400,280",0.3,59.15,"123,030",21.66,31.57,48.45,75.69,#,"45,050","65,660","100,780","157,430",#
6951,2019,11-1030,Legislators,broad,"52,280",2.2,*,"49,440",*,*,*,*,*,"17,690","19,070","29,270","75,520","100,470"
6952,2019,11-1031,Legislators,detailed,"52,280",2.2,*,"49,440",*,*,*,*,*,"17,690","19,070","29,270","75,520","100,470"
6953,2019,Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"770,540",0.5,68.91,"143,330",30.74,42.97,61.96,86.06,#,"63,940","89,380","128,870","179,010",#
6954,2019,Nov-10,Advertising and Promotions Managers,broad,"25,100",3,68.22,"141,890",29.77,41.51,60.34,84.59,#,"61,930","86,330","125,510","175,940",#
6955,2019,Nov-11,Advertising and Promotions Managers,detailed,"25,100",3,68.22,"141,890",29.77,41.51,60.34,84.59,#,"61,930","86,330","125,510","175,940",#
6956,2019,Nov-20,Marketing and Sales Managers,broad,"666,280",0.5,69.55,"144,660",30.72,43.4,62.84,87.15,#,"63,900","90,270","130,700","181,280",#
6957,2019,Nov-21,Marketing Managers,detailed,"263,680",0.8,71.73,"149,200",34.14,46.98,65.79,89.1,#,"71,010","97,710","136,850","185,320",#
6958,2019,Nov-22,Sales Managers,detailed,"402,600",0.6,68.12,"141,690",28.76,40.94,60.89,85.5,#,"59,810","85,150","126,640","177,830",#
6959,2019,Nov-30,Public Relations and Fundraising Managers,detailed,"79,160",1.3,63.77,"132,630",31.15,40.76,55.86,77.52,#,"64,790","84,780","116,180","161,230",#
6960,2019,Nov-30,Public Relations and Fundraising Managers,broad,"79,160",1.3,63.77,"132,630",31.15,40.76,55.86,77.52,#,"64,790","84,780","116,180","161,230",#
6961,2019,Nov-00,Operations Specialties Managers,minor,"1,996,160",0.3,64.69,"134,550",31.99,42.33,58.15,78.39,#,"66,540","88,050","120,960","163,050",#
6962,2019,Nov-10,Administrative Services and Facilities Managers,detailed,"307,280",0.5,51.23,"106,550",26.54,34.72,46.61,61.65,79.96,"55,210","72,220","96,940","128,230","166,330"
6963,2019,Nov-10,Administrative Services and Facilities Managers,broad,"307,280",0.5,51.23,"106,550",26.54,34.72,46.61,61.65,79.96,"55,210","72,220","96,940","128,230","166,330"
6964,2019,Nov-20,Computer and Information Systems Managers,broad,"433,960",0.6,75.19,"156,390",42.06,54.38,70.37,89.24,#,"87,480","113,110","146,360","185,610",#
6965,2019,Nov-21,Computer and Information Systems Managers,detailed,"433,960",0.6,75.19,"156,390",42.06,54.38,70.37,89.24,#,"87,480","113,110","146,360","185,610",#
6966,2019,Nov-30,Financial Managers,broad,"654,790",0.6,70.93,"147,530",32.87,44.38,62.45,87.49,#,"68,370","92,310","129,890","181,980",#
6967,2019,Nov-31,Financial Managers,detailed,"654,790",0.6,70.93,"147,530",32.87,44.38,62.45,87.49,#,"68,370","92,310","129,890","181,980",#
6968,2019,Nov-50,Industrial Production Managers,broad,"185,790",0.9,55.34,"115,110",31.27,39.62,50.71,65.81,84.65,"65,050","82,400","105,480","136,880","176,070"
6969,2019,Nov-51,Industrial Production Managers,detailed,"185,790",0.9,55.34,"115,110",31.27,39.62,50.71,65.81,84.65,"65,050","82,400","105,480","136,880","176,070"
6970,2019,Nov-60,Purchasing Managers,broad,"72,100",0.8,61.73,"128,400",34.35,44.5,58.23,73.51,92.98,"71,450","92,560","121,110","152,890","193,400"
6971,2019,Nov-61,Purchasing Managers,detailed,"72,100",0.8,61.73,"128,400",34.35,44.5,58.23,73.51,92.98,"71,450","92,560","121,110","152,890","193,400"
6972,2019,Nov-70,"Transportation, Storage, and Distribution Managers",broad,"132,040",0.9,49.67,"103,320",26.85,34.64,45.46,59.84,77.17,"55,850","72,050","94,560","124,460","160,500"
6973,2019,Nov-71,"Transportation, Storage, and Distribution Managers",detailed,"132,040",0.9,49.67,"103,320",26.85,34.64,45.46,59.84,77.17,"55,850","72,050","94,560","124,460","160,500"
6974,2019,Nov-10,Compensation and Benefits Managers,broad,"16,900",1.9,64.52,"134,210",33.59,43.96,58.78,78.83,#,"69,870","91,430","122,270","163,980",#
6975,2019,Nov-11,Compensation and Benefits Managers,detailed,"16,900",1.9,64.52,"134,210",33.59,43.96,58.78,78.83,#,"69,870","91,430","122,270","163,980",#
6976,2019,Nov-20,Human Resources Managers,broad,"154,800",0.7,62.29,"129,570",32.84,42.38,56.11,75.27,98.9,"68,300","88,150","116,720","156,560","205,720"
